Metric,Mean,Fold Scores
accuracy,0.6670400000000001,[0.2214 0.7785 0.7785 0.7783 0.7785]
precision,0.04428,[0.2214 0.     0.     0.     0.    ]
recall,0.2,[1. 0. 0. 0. 0.]
f1,0.07286780729331585,[0.3625348  0.00090171 0.         0.00090253 0.        ]
