Metric,Mean,Fold Scores
accuracy,0.7272400000000001,[0.6243 0.7752 0.7765 0.6817 0.7785]
precision,0.14663000962825312,[0.22137956 0.075      0.21621622 0.22055427 0.        ]
recall,0.09086066300843595,[0.27687444 0.00135501 0.00361337 0.1724605  0.        ]
f1,0.0898742286501765,[0.24603652 0.00266193 0.00710795 0.19356473 0.        ]
