Metric,Mean,Fold Scores
accuracy,0.5173,[0.2327 0.4906 0.7785 0.3062 0.7785]
precision,0.22584167130672358,[0.22297777 0.21084337 0.47058824 0.22479897 0.        ]
recall,0.46821401261416673,[0.99232159 0.47425474 0.00361337 0.87088036 0.        ]
f1,0.20411395201444424,[0.36413359 0.29190992 0.00717167 0.35735458 0.        ]
